name,position,team,kickoff_time,opponent_team,value,was_home
Rodrigo Martins Gomes,MID,Wolves,2024-09-15,15,54,TRUE
Santiago Bueno,DEF,Wolves,2024-09-15,15,44,TRUE
Pablo Sarabia,MID,Wolves,2024-09-15,15,54,TRUE
Jørgen Strand Larsen,FWD,Wolves,2024-09-15,15,55,TRUE
Toti António Gomes,DEF,Wolves,2024-09-15,15,45,TRUE
Bastien Meupiyou,DEF,Wolves,2024-09-15,15,40,TRUE
André Trindade da Costa Neto,MID,Wolves,2024-09-15,15,50,TRUE
Carlos Roberto Forbs Borges,MID,Wolves,2024-09-15,15,55,TRUE
Fábio Ferreira Vieira,MID,Arsenal,2024-09-15,18,54,FALSE
Gabriel Fernando de Jesus,FWD,Arsenal,2024-09-15,18,68,FALSE
Gabriel dos Santos Magalhães,DEF,Arsenal,2024-09-15,18,60,FALSE
Kai Havertz,FWD,Arsenal,2024-09-15,18,81,FALSE
Karl Hein,GK,Arsenal,2024-09-15,18,40,FALSE
Jurriën Timber,DEF,Arsenal,2024-09-15,18,55,FALSE
Jorge Luiz Frello Filho,MID,Arsenal,2024-09-15,18,49,FALSE
Jakub Kiwior,DEF,Arsenal,2024-09-15,18,49,FALSE
Gabriel Martinelli Silva,MID,Arsenal,2024-09-15,18,69,FALSE
Ethan Nwaneri,MID,Arsenal,2024-09-15,18,45,FALSE
Martin Ødegaard,MID,Arsenal,2024-09-15,18,84,FALSE
David Raya Martin,GK,Arsenal,2024-09-15,18,55,FALSE
Declan Rice,MID,Arsenal,2024-09-15,18,64,FALSE
Bukayo Saka,MID,Arsenal,2024-09-15,18,101,FALSE
William Saliba,DEF,Arsenal,2024-09-15,18,60,FALSE
Thomas Partey,MID,Arsenal,2024-09-15,18,50,FALSE
Kieran Tierney,DEF,Arsenal,2024-09-15,18,44,FALSE
Tomiyasu Takehiro,DEF,Arsenal,2024-09-15,18,49,FALSE
Leandro Trossard,MID,Arsenal,2024-09-15,18,69,FALSE
Benjamin White,DEF,Arsenal,2024-09-15,18,65,FALSE
Oleksandr Zinchenko,DEF,Arsenal,2024-09-15,18,49,FALSE
Norberto Murara Neto,GK,Arsenal,2024-09-15,18,45,FALSE
Raheem Sterling,MID,Arsenal,2024-09-15,18,68,FALSE
Riccardo Calafiori,DEF,Arsenal,2024-09-15,18,58,FALSE
Myles Lewis-Skelly,MID,Arsenal,2024-09-15,18,45,FALSE
Mikel Merino,MID,Arsenal,2024-09-15,18,60,FALSE
Salah-Eddine Oulad M'hand,MID,Arsenal,2024-09-15,18,45,FALSE
Tommy Setford,GK,Arsenal,2024-09-15,18,45,FALSE
Kristoffer Ajer,DEF,Brentford,2024-09-14,13,45,FALSE
Ethan Brierley,MID,Brentford,2024-09-14,13,45,FALSE
Nathan Collins,DEF,Brentford,2024-09-14,13,45,FALSE
Mikkel Damsgaard,MID,Brentford,2024-09-14,13,50,FALSE
Josh Dasilva,MID,Brentford,2024-09-14,13,49,FALSE
Mark Flekken,GK,Brentford,2024-09-14,13,45,FALSE
Rico Henry,DEF,Brentford,2024-09-14,13,44,FALSE
Aaron Hickey,DEF,Brentford,2024-09-14,13,44,FALSE
Vitaly Janelt,MID,Brentford,2024-09-14,13,49,FALSE
Mathias Jensen,MID,Brentford,2024-09-14,13,55,FALSE
Kim Ji-soo,DEF,Brentford,2024-09-14,13,40,FALSE
Yunus Emre Konak,MID,Brentford,2024-09-14,13,45,FALSE
Keane Lewis-Potter,MID,Brentford,2024-09-14,13,50,FALSE
Bryan Mbeumo,MID,Brentford,2024-09-14,13,71,FALSE
Ben Mee,DEF,Brentford,2024-09-14,13,44,FALSE
Christian Nørgaard,MID,Brentford,2024-09-14,13,50,FALSE
Frank Onyeka,MID,Brentford,2024-09-14,13,49,FALSE
Myles Peart-Harris,MID,Brentford,2024-09-14,13,45,FALSE
Ethan Pinnock,DEF,Brentford,2024-09-14,13,45,FALSE
Mads Roerslev Rasmussen,DEF,Brentford,2024-09-14,13,45,FALSE
Kevin Schade,MID,Brentford,2024-09-14,13,55,FALSE
Igor Thiago Nascimento Rodrigues,FWD,Brentford,2024-09-14,13,59,FALSE
Ivan Toney,FWD,Brentford,2024-09-14,13,73,FALSE
Hákon Valdimarsson,GK,Brentford,2024-09-14,13,40,FALSE
Yoane Wissa,FWD,Brentford,2024-09-14,13,61,FALSE
Yehor Yarmoliuk,MID,Brentford,2024-09-14,13,45,FALSE
Mathias Jorgensen,DEF,Brentford,2024-09-14,13,45,FALSE
Fábio Freitas Gouveia Carvalho,MID,Brentford,2024-09-14,13,49,FALSE
Sepp van den Berg,DEF,Brentford,2024-09-14,13,40,FALSE
Ryan Trevitt,MID,Brentford,2024-09-14,13,45,FALSE
Gustavo Nunes Fernandes Gomes,MID,Brentford,2024-09-14,13,50,FALSE
Jayden Meghoma,DEF,Brentford,2024-09-14,13,40,FALSE
Andrey Nascimento dos Santos,MID,Chelsea,2024-09-14,3,45,FALSE
Ângelo Gabriel Borges Damaceno,MID,Chelsea,2024-09-14,3,45,FALSE
Benoît Badiashile,DEF,Chelsea,2024-09-14,3,45,FALSE
Lucas Bergström,GK,Chelsea,2024-09-14,3,40,FALSE
Marcus Bettinelli,GK,Chelsea,2024-09-14,3,40,FALSE
Moisés Caicedo Corozo,MID,Chelsea,2024-09-14,3,50,FALSE
Cesare Casadei,MID,Chelsea,2024-09-14,3,45,FALSE
Ben Chilwell,DEF,Chelsea,2024-09-14,3,49,FALSE
Carney Chukwuemeka,MID,Chelsea,2024-09-14,3,49,FALSE
Levi Colwill,DEF,Chelsea,2024-09-14,3,45,FALSE
Marc Cucurella Saseta,DEF,Chelsea,2024-09-14,3,50,FALSE
David Datro Fofana,FWD,Chelsea,2024-09-14,3,54,FALSE
Deivid Washington de Souza Eugênio,FWD,Chelsea,2024-09-14,3,50,FALSE
Kiernan Dewsbury-Hall,MID,Chelsea,2024-09-14,3,59,FALSE
Axel Disasi,DEF,Chelsea,2024-09-14,3,44,FALSE
Enzo Fernández,MID,Chelsea,2024-09-14,3,50,FALSE
Conor Gallagher,MID,Chelsea,2024-09-14,3,59,FALSE
Alfie Gilchrist,DEF,Chelsea,2024-09-14,3,40,FALSE
Malo Gusto,DEF,Chelsea,2024-09-14,3,50,FALSE
Reece James,DEF,Chelsea,2024-09-14,3,50,FALSE
Omari Kellyman,MID,Chelsea,2024-09-14,3,45,FALSE
Roméo Lavia,MID,Chelsea,2024-09-14,3,45,FALSE
Romelu Lukaku Bolingoli,FWD,Chelsea,2024-09-14,3,63,FALSE
Malang Sarr,DEF,Chelsea,2024-09-14,3,45,FALSE
Noni Madueke,MID,Chelsea,2024-09-14,3,66,FALSE
Marc Guiu Paz,FWD,Chelsea,2024-09-14,3,50,FALSE
Mykhailo Mudryk,MID,Chelsea,2024-09-14,3,64,FALSE
Nicolas Jackson,FWD,Chelsea,2024-09-14,3,76,FALSE
Christopher Nkunku,MID,Chelsea,2024-09-14,3,62,FALSE
Cole Palmer,MID,Chelsea,2024-09-14,3,106,FALSE
Đorđe Petrović,GK,Chelsea,2024-09-14,3,44,FALSE
Renato Palma Veiga,MID,Chelsea,2024-09-14,3,45,FALSE
Robert Sánchez,GK,Chelsea,2024-09-14,3,45,FALSE
Tosin Adarabioyo,DEF,Chelsea,2024-09-14,3,44,FALSE
Wesley Fofana,DEF,Chelsea,2024-09-14,3,45,FALSE
Jadon Sancho,MID,Chelsea,2024-09-14,3,63,FALSE
Pedro Lomba Neto,MID,Chelsea,2024-09-14,3,65,FALSE
Caleb Wiley,DEF,Chelsea,2024-09-14,3,40,FALSE
Filip Jørgensen,GK,Chelsea,2024-09-14,3,44,FALSE
João Félix Sequeira,MID,Chelsea,2024-09-14,3,65,FALSE
Armando Broja,FWD,Everton,2024-09-14,2,55,FALSE
Abdoulaye Doucouré,MID,Everton,2024-09-14,2,54,FALSE
Norberto Bercique Gomes Betuncal,FWD,Everton,2024-09-14,2,50,FALSE
Jarrad Branthwaite,DEF,Everton,2024-09-14,2,49,FALSE
Dominic Calvert-Lewin,FWD,Everton,2024-09-14,2,59,FALSE
Séamus Coleman,DEF,Everton,2024-09-14,2,44,FALSE
Idrissa Gueye,MID,Everton,2024-09-14,2,50,FALSE
James Garner,MID,Everton,2024-09-14,2,50,FALSE
Jack Harrison,MID,Everton,2024-09-14,2,54,FALSE
Mason Holgate,DEF,Everton,2024-09-14,2,40,FALSE
Tim Iroegbunam,MID,Everton,2024-09-14,2,45,FALSE
João Neves Virgínia,GK,Everton,2024-09-14,2,40,FALSE
Michael Keane,DEF,Everton,2024-09-14,2,40,FALSE
Neal Maupay,FWD,Everton,2024-09-14,2,49,FALSE
Dwight McNeil,MID,Everton,2024-09-14,2,54,FALSE
Vitalii Mykolenko,DEF,Everton,2024-09-14,2,44,FALSE
Iliman Ndiaye,FWD,Everton,2024-09-14,2,54,FALSE
Nathan Patterson,DEF,Everton,2024-09-14,2,44,FALSE
Jordan Pickford,GK,Everton,2024-09-14,2,49,FALSE
James Tarkowski,DEF,Everton,2024-09-14,2,49,FALSE
Youssef Ramalho Chermiti,FWD,Everton,2024-09-14,2,50,FALSE
Ashley Young,DEF,Everton,2024-09-14,2,45,FALSE
Jesper Lindstrøm,MID,Everton,2024-09-14,2,53,FALSE
Jake O'Brien,DEF,Everton,2024-09-14,2,49,FALSE
Harrison Armstrong,MID,Everton,2024-09-14,2,45,FALSE
Jenson Metcalfe,MID,Everton,2024-09-14,2,45,FALSE
Asmir Begovic,GK,Everton,2024-09-14,2,40,FALSE
Roman Dixon,DEF,Everton,2024-09-14,2,40,FALSE
Orel Mangala,MID,Everton,2024-09-14,2,50,FALSE
Ali Al-Hamadi,FWD,Ipswich,2024-09-14,5,50,FALSE
Elkan Baggott,DEF,Ipswich,2024-09-14,5,40,FALSE
Nathan Broadhead,MID,Ipswich,2024-09-14,5,49,FALSE
Cameron Burgess,DEF,Ipswich,2024-09-14,5,40,FALSE
Wes Burns,MID,Ipswich,2024-09-14,5,49,FALSE
Conor Chaplin,MID,Ipswich,2024-09-14,5,54,FALSE
Harry Clarke,DEF,Ipswich,2024-09-14,5,40,FALSE
Leif Davis,DEF,Ipswich,2024-09-14,5,45,FALSE
Liam Delap,FWD,Ipswich,2024-09-14,5,55,FALSE
George Edmundson,DEF,Ipswich,2024-09-14,5,40,FALSE
Jacob Greaves,DEF,Ipswich,2024-09-14,5,40,FALSE
Marcus Myers-Harness,MID,Ipswich,2024-09-14,5,49,FALSE
George Hirst,FWD,Ipswich,2024-09-14,5,54,FALSE
Cameron Humphreys,MID,Ipswich,2024-09-14,5,45,FALSE
Omari Giraud-Hutchinson,MID,Ipswich,2024-09-14,5,55,FALSE
Ben Johnson,DEF,Ipswich,2024-09-14,5,40,FALSE
Freddie Ladapo,FWD,Ipswich,2024-09-14,5,45,FALSE
Massimo Luongo,MID,Ipswich,2024-09-14,5,45,FALSE
Sam Morsy,MID,Ipswich,2024-09-14,5,49,FALSE
Corrie Ndaba,DEF,Ipswich,2024-09-14,5,40,FALSE
Cieran Slicker,GK,Ipswich,2024-09-14,5,40,FALSE
Jack Taylor,MID,Ipswich,2024-09-14,5,49,FALSE
Axel Tuanzebe,DEF,Ipswich,2024-09-14,5,40,FALSE
Christian Walton,GK,Ipswich,2024-09-14,5,45,FALSE
Luke Woolfenden,DEF,Ipswich,2024-09-14,5,40,FALSE
Kalvin Phillips,MID,Ipswich,2024-09-14,5,50,FALSE
Arijanet Muric,GK,Ipswich,2024-09-14,5,44,FALSE
Conor Townsend,DEF,Ipswich,2024-09-14,5,40,FALSE
Sam Szmodics,MID,Ipswich,2024-09-14,5,60,FALSE
Jens Cajuste,MID,Ipswich,2024-09-14,5,45,FALSE
Dara O'Shea,DEF,Ipswich,2024-09-14,5,40,FALSE
Jack Clarke,MID,Ipswich,2024-09-14,5,55,FALSE
Chiedozie Ogbene,MID,Ipswich,2024-09-14,5,50,FALSE
Facundo Buonanotte,MID,Leicester,2024-09-14,7,50,FALSE
Jordan Ayew,MID,Leicester,2024-09-14,7,54,FALSE
Odsonne Edouard,FWD,Leicester,2024-09-14,7,54,FALSE
Boubakary Soumaré,MID,Leicester,2024-09-14,7,45,FALSE
Tom Cannon,FWD,Leicester,2024-09-14,7,45,FALSE
Hamza Choudhury,MID,Leicester,2024-09-14,7,45,FALSE
Conor Coady,DEF,Leicester,2024-09-14,7,40,FALSE
Patson Daka,FWD,Leicester,2024-09-14,7,49,FALSE
Bobby De Cordova-Reid,MID,Leicester,2024-09-14,7,54,FALSE
Wout Faes,DEF,Leicester,2024-09-14,7,41,FALSE
Michael Golding,MID,Leicester,2024-09-14,7,45,FALSE
Mads Hermansen,GK,Leicester,2024-09-14,7,45,FALSE
Daniel Iversen,GK,Leicester,2024-09-14,7,40,FALSE
James Justin,DEF,Leicester,2024-09-14,7,45,FALSE
Victor Kristiansen,DEF,Leicester,2024-09-14,7,45,FALSE
Wanya Marçal-Madivádua,MID,Leicester,2024-09-14,7,45,FALSE
Stephy Mavididi,MID,Leicester,2024-09-14,7,54,FALSE
Kasey McAteer,MID,Leicester,2024-09-14,7,49,FALSE
Wilfred Ndidi,MID,Leicester,2024-09-14,7,50,FALSE
Caleb Okoli,DEF,Leicester,2024-09-14,7,40,FALSE
Ricardo Barbosa Pereira,DEF,Leicester,2024-09-14,7,44,FALSE
Harry Souttar,DEF,Leicester,2024-09-14,7,40,FALSE
Jakub Stolarczyk,GK,Leicester,2024-09-14,7,40,FALSE
Luke Thomas,DEF,Leicester,2024-09-14,7,40,FALSE
Jamie Vardy,FWD,Leicester,2024-09-14,7,56,FALSE
Jannik Vestergaard,DEF,Leicester,2024-09-14,7,40,FALSE
Danny Ward,GK,Leicester,2024-09-14,7,40,FALSE
Harry Winks,MID,Leicester,2024-09-14,7,45,FALSE
Oliver Skipp,MID,Leicester,2024-09-14,7,49,FALSE
Abdul Fatawu,MID,Leicester,2024-09-14,7,55,FALSE
Will Alves,MID,Leicester,2024-09-14,7,45,FALSE
Ben Nelson,DEF,Leicester,2024-09-14,7,40,FALSE
Bilal El Khannouss,MID,Leicester,2024-09-14,7,50,FALSE
Amad Diallo,MID,Man Utd,2024-09-14,17,50,FALSE
Antony Matheus dos Santos,MID,Man Utd,2024-09-14,17,59,FALSE
Bruno Borges Fernandes,MID,Man Utd,2024-09-14,17,84,FALSE
Altay Bayindir,GK,Man Utd,2024-09-14,17,44,FALSE
Carlos Henrique Casimiro,MID,Man Utd,2024-09-14,17,50,FALSE
Diogo Dalot Teixeira,DEF,Man Utd,2024-09-14,17,50,FALSE
Christian Eriksen,MID,Man Utd,2024-09-14,17,54,FALSE
Jonny Evans,DEF,Man Utd,2024-09-14,17,44,FALSE
Alejandro Garnacho,MID,Man Utd,2024-09-14,17,64,FALSE
Hannibal Mejbri,MID,Man Utd,2024-09-14,17,45,FALSE
Tom Heaton,GK,Man Utd,2024-09-14,17,40,FALSE
Rasmus Højlund,FWD,Man Utd,2024-09-14,17,69,FALSE
Victor Lindelöf,DEF,Man Utd,2024-09-14,17,44,FALSE
Harry Maguire,DEF,Man Utd,2024-09-14,17,50,FALSE
Kobbie Mainoo,MID,Man Utd,2024-09-14,17,54,FALSE
Tyrell Malacia,DEF,Man Utd,2024-09-14,17,44,FALSE
Lisandro Martínez,DEF,Man Utd,2024-09-14,17,45,FALSE
Scott McTominay,MID,Man Utd,2024-09-14,17,49,FALSE
Mason Mount,MID,Man Utd,2024-09-14,17,64,FALSE
André Onana,GK,Man Utd,2024-09-14,17,50,FALSE
Facundo Pellistri Rebollo,MID,Man Utd,2024-09-14,17,50,FALSE
Marcus Rashford,MID,Man Utd,2024-09-14,17,69,FALSE
Luke Shaw,DEF,Man Utd,2024-09-14,17,49,FALSE
Joshua Zirkzee,FWD,Man Utd,2024-09-14,17,70,FALSE
Leny Yoro,DEF,Man Utd,2024-09-14,17,44,FALSE
Matthijs de Ligt,DEF,Man Utd,2024-09-14,17,50,FALSE
Noussair Mazraoui,DEF,Man Utd,2024-09-14,17,45,FALSE
Toby Collyer,MID,Man Utd,2024-09-14,17,45,FALSE
Ethan Wheatley,FWD,Man Utd,2024-09-14,17,45,FALSE
Manuel Ugarte,MID,Man Utd,2024-09-14,17,50,FALSE
Alex Murphy,DEF,Newcastle,2024-09-15,20,40,FALSE
Miguel Almirón Rejala,MID,Newcastle,2024-09-15,20,58,FALSE
Harvey Barnes,MID,Newcastle,2024-09-15,20,64,FALSE
Sven Botman,DEF,Newcastle,2024-09-15,20,45,FALSE
Bruno Guimarães Rodriguez Moura,MID,Newcastle,2024-09-15,20,64,FALSE
Dan Burn,DEF,Newcastle,2024-09-15,20,45,FALSE
Martin Dúbravka,GK,Newcastle,2024-09-15,20,44,FALSE
Anthony Gordon,MID,Newcastle,2024-09-15,20,74,FALSE
Lewis Hall,DEF,Newcastle,2024-09-15,20,45,FALSE
Isaac Hayden,MID,Newcastle,2024-09-15,20,45,FALSE
Alexander Isak,FWD,Newcastle,2024-09-15,20,85,FALSE
Jacob Murphy,MID,Newcastle,2024-09-15,20,54,FALSE
Joelinton Cássio Apolinário de Lira,MID,Newcastle,2024-09-15,20,60,FALSE
Lloyd Kelly,DEF,Newcastle,2024-09-15,20,45,FALSE
Emil Krafth,DEF,Newcastle,2024-09-15,20,45,FALSE
Garang Kuol,MID,Newcastle,2024-09-15,20,45,FALSE
Jamaal Lascelles,DEF,Newcastle,2024-09-15,20,45,FALSE
Jamal Lewis,DEF,Newcastle,2024-09-15,20,40,FALSE
Tino Livramento,DEF,Newcastle,2024-09-15,20,45,FALSE
Sean Longstaff,MID,Newcastle,2024-09-15,20,49,FALSE
Lewis Miley,MID,Newcastle,2024-09-15,20,50,FALSE
Odysseas Vlachodimos,GK,Newcastle,2024-09-15,20,44,FALSE
Nick Pope,GK,Newcastle,2024-09-15,20,50,FALSE
John Ruddy,GK,Newcastle,2024-09-15,20,40,FALSE
Fabian Schär,DEF,Newcastle,2024-09-15,20,54,FALSE
Matt Targett,DEF,Newcastle,2024-09-15,20,40,FALSE
Sandro Tonali,MID,Newcastle,2024-09-15,20,55,FALSE
Kieran Trippier,DEF,Newcastle,2024-09-15,20,58,FALSE
Joe White,MID,Newcastle,2024-09-15,20,45,FALSE
Joe Willock,MID,Newcastle,2024-09-15,20,49,FALSE
Callum Wilson,FWD,Newcastle,2024-09-15,20,69,FALSE
Miodrag Pivaš,DEF,Newcastle,2024-09-15,20,40,FALSE
William Osula,FWD,Newcastle,2024-09-15,20,50,FALSE
Álex Moreno Lopera,DEF,Nott'm Forest,2024-09-14,12,44,FALSE
Ola Aina,DEF,Nott'm Forest,2024-09-14,12,44,FALSE
Elliot Anderson,MID,Nott'm Forest,2024-09-14,12,50,FALSE
Taiwo Awoniyi,FWD,Nott'm Forest,2024-09-14,12,58,FALSE
Willy Boly,DEF,Nott'm Forest,2024-09-14,12,45,FALSE
Josh Bowler,MID,Nott'm Forest,2024-09-14,12,45,FALSE
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,2024-09-14,12,44,FALSE
Eric da Silva Moreira,MID,Nott'm Forest,2024-09-14,12,45,FALSE
Danilo dos Santos de Oliveira,MID,Nott'm Forest,2024-09-14,12,48,FALSE
Emmanuel Dennis,FWD,Nott'm Forest,2024-09-14,12,50,FALSE
Nicolás Domínguez,MID,Nott'm Forest,2024-09-14,12,49,FALSE
Anthony Elanga,MID,Nott'm Forest,2024-09-14,12,54,FALSE
Morgan Gibbs-White,MID,Nott'm Forest,2024-09-14,12,65,FALSE
Callum Hudson-Odoi,MID,Nott'm Forest,2024-09-14,12,54,FALSE
Alex Mighten,MID,Nott'm Forest,2024-09-14,12,45,FALSE
Murillo Santiago Costa dos Santos,DEF,Nott'm Forest,2024-09-14,12,45,FALSE
Neco Williams,DEF,Nott'm Forest,2024-09-14,12,45,FALSE
Omar Richards,DEF,Nott'm Forest,2024-09-14,12,45,FALSE
Lewis O'Brien,MID,Nott'm Forest,2024-09-14,12,50,FALSE
Andrew Omobamidele,DEF,Nott'm Forest,2024-09-14,12,44,FALSE
Jonathan Panzo,DEF,Nott'm Forest,2024-09-14,12,40,FALSE
Ibrahim Sangaré,MID,Nott'm Forest,2024-09-14,12,45,FALSE
Matz Sels,GK,Nott'm Forest,2024-09-14,12,45,FALSE
Harry Toffolo,DEF,Nott'm Forest,2024-09-14,12,44,FALSE
Hwang Ui-jo,FWD,Nott'm Forest,2024-09-14,12,45,FALSE
Chris Wood,FWD,Nott'm Forest,2024-09-14,12,61,FALSE
Joe Worrall,DEF,Nott'm Forest,2024-09-14,12,45,FALSE
Ryan Yates,MID,Nott'm Forest,2024-09-14,12,50,FALSE
James Ward-Prowse,MID,Nott'm Forest,2024-09-14,12,63,FALSE
Nikola Milenković,DEF,Nott'm Forest,2024-09-14,12,45,FALSE
João Pedro Ferreira Silva,MID,Nott'm Forest,2024-09-14,12,60,FALSE
Ramón Sosa,MID,Nott'm Forest,2024-09-14,12,55,FALSE
Felipe Rodrigues da Silva,DEF,Nott'm Forest,2024-09-14,12,45,FALSE
Aaron Wan-Bissaka,DEF,West Ham,2024-09-14,9,45,FALSE
Edson Álvarez Velázquez,MID,West Ham,2024-09-14,9,50,FALSE
Michail Antonio,FWD,West Ham,2024-09-14,9,55,FALSE
Alphonse Areola,GK,West Ham,2024-09-14,9,45,FALSE
Jarrod Bowen,MID,West Ham,2024-09-14,9,75,FALSE
Vladimír Coufal,DEF,West Ham,2024-09-14,9,45,FALSE
Aaron Cresswell,DEF,West Ham,2024-09-14,9,40,FALSE
George Earthy,MID,West Ham,2024-09-14,9,45,FALSE
Emerson Palmieri dos Santos,DEF,West Ham,2024-09-14,9,45,FALSE
Łukasz Fabiański,GK,West Ham,2024-09-14,9,40,FALSE
Wes Foderingham,GK,West Ham,2024-09-14,9,45,FALSE
Danny Ings,FWD,West Ham,2024-09-14,9,50,FALSE
Max Kilman,DEF,West Ham,2024-09-14,9,45,FALSE
Mohammed Kudus,MID,West Ham,2024-09-14,9,64,FALSE
Luis Guilherme Lira dos Santos,MID,West Ham,2024-09-14,9,49,FALSE
Lucas Tolentino Coelho de Lima,MID,West Ham,2024-09-14,9,60,FALSE
Konstantinos Mavropanos,DEF,West Ham,2024-09-14,9,45,FALSE
Nayef Aguerd,DEF,West Ham,2024-09-14,9,44,FALSE
Tomáš Souček,MID,West Ham,2024-09-14,9,50,FALSE
Kurt Zouma,DEF,West Ham,2024-09-14,9,44,FALSE
Andy Irving,MID,West Ham,2024-09-14,9,49,FALSE
Crysencio Summerville,MID,West Ham,2024-09-14,9,59,FALSE
Guido Rodríguez,MID,West Ham,2024-09-14,9,50,FALSE
Niclas Füllkrug,FWD,West Ham,2024-09-14,9,68,FALSE
Jean-Clair Todibo,DEF,West Ham,2024-09-14,9,45,FALSE
Kaelan Casey,DEF,West Ham,2024-09-14,9,40,FALSE
Carlos Soler,MID,West Ham,2024-09-14,9,50,FALSE
